dataset, score
3, -0.636557 
3, -0.634748 
3, -0.632219 
3, -0.629327 
3, -0.626235 
3, -0.623848 
3, -0.621866 
3, -0.620268 
3, -0.619335 
3, -0.617542 
3, -0.612349 
3, -0.606453 
3, -0.602438 
3, -0.601926 
3, -0.594616 
3, -0.590374 
3, -0.589987 
3, -0.587399 
3, -0.583866 
3, -0.580266 
3, -0.576627 
3, -0.572377 
3, -0.571674 
3, -0.571652 
3, -0.565092 
3, -0.564207 
3, -0.560837 
3, -0.558935 
3, -0.558412 
3, -0.552982 
3, -0.550870 
3, -0.548002 
3, -0.547597 
3, -0.546197 
3, -0.544571 
3, -0.544539 
3, -0.541999 
3, -0.541759 
3, -0.540976 
3, -0.540837 
3, -0.536494 
3, -0.534171 
3, -0.533541 
3, -0.532711 
3, -0.532582 
3, -0.531459 
3, -0.531003 
3, -0.530979 
3, -0.530167 
3, -0.529937 
3, -0.529443 
3, -0.528522 
3, -0.528026 
3, -0.527808 
3, -0.524822 
3, -0.523955 
3, -0.522830 
3, -0.521466 
3, -0.519551 
3, -0.519029 
3, -0.518699 
3, -0.518371 
3, -0.517434 
3, -0.515490 
3, -0.514232 
3, -0.511906 
3, -0.509720 
3, -0.507443 
3, -0.507338 
3, -0.506771 
3, -0.506086 
3, -0.506035 
3, -0.505947 
3, -0.505516 
3, -0.505268 
3, -0.504912 
3, -0.504236 
3, -0.502085 
3, -0.501247 
3, -0.500981 
3, -0.496817 
3, -0.496608 
3, -0.495477 
3, -0.492721 
3, -0.491615 
3, -0.491615 
3, -0.491615 
3, -0.489881 
3, -0.489187 
3, -0.488806 
3, -0.485353 
3, -0.482093 
3, -0.481060 
3, -0.477864 
3, -0.477135 
3, -0.476827 
3, -0.474604 
3, -0.473169 
3, -0.472256 
3, -0.471459 
3, -0.470641 
3, -0.470076 
3, -0.468936 
3, -0.467165 
3, -0.467128 
3, -0.465910 
3, -0.464271 
3, -0.463673 
3, -0.462044 
3, -0.461669 
3, -0.457818 
3, -0.456658 
3, -0.455212 
3, -0.454528 
3, -0.452479 
3, -0.446763 
3, -0.442539 
3, -0.442305 
3, -0.440970 
3, -0.439407 
3, -0.439151 
3, -0.439042 
3, -0.437395 
3, -0.434757 
3, -0.434716 
3, -0.434283 
3, -0.429548 
3, -0.427253 
3, -0.424631 
3, -0.422631 
3, -0.420108 
3, -0.419868 
3, -0.418644 
3, -0.418359 
3, -0.418299 
3, -0.417626 
3, -0.416108 
3, -0.412590 
3, -0.411951 
3, -0.411502 
3, -0.403395 
3, -0.400925 
3, -0.394435 
3, -0.392842 
3, -0.391001 
3, -0.389406 
3, -0.389392 
3, -0.388933 
3, -0.387738 
3, -0.384460 
3, -0.382787 
3, -0.381338 
3, -0.381304 
3, -0.379612 
3, -0.378824 
3, -0.375262 
3, -0.375061 
3, -0.369423 
3, -0.360823 
3, -0.359149 
3, -0.357571 
3, -0.353287 
3, -0.352063 
3, -0.351427 
3, -0.341964 
3, -0.339643 
3, -0.337630 
3, -0.333604 
3, -0.325090 
3, -0.323276 
3, -0.321351 
3, -0.319289 
3, -0.306206 
3, -0.298428 
3, -0.298084 
3, -0.289561 
3, -0.282311 
3, -0.276301 
3, -0.268196 
3, -0.267045 
3, -0.254846 
3, -0.241184 
3, -0.216954 
3, -0.205894 
3, -0.166397 
3, -0.154523 
3, -0.148218 
3, -0.145661 
3, -0.135060 
3, -0.120708 
3, -0.116965 
3, -0.109215 
3, -0.091133 
3, -0.088012 
3, -0.069845 
3, -0.069373 
3, -0.053681 
3, -0.020714 
3, 0.000000 
3, 0.000000 
3, 0.000000 
3, 0.000000 
3, 0.000000 
3, 0.000000 
3, 0.148420 
3, -1.166618 
4, -0.956437 
4, -0.874588 
4, -0.873295 
4, -0.752594 
4, -0.738094 
4, -0.736887 
4, -0.721976 
4, -0.704243 
4, -0.703840 
4, -0.702640 
4, -0.676848 
4, -0.670465 
4, -0.656055 
4, -0.655665 
4, -0.649820 
4, -0.649333 
4, -0.620048 
4, -0.619413 
4, -0.611178 
4, -0.607180 
4, -0.605497 
4, -0.605060 
4, -0.592474 
4, -0.591638 
4, -0.588366 
4, -0.585215 
4, -0.581546 
4, -0.580840 
4, -0.577395 
4, -0.574659 
4, -0.572015 
4, -0.569522 
4, -0.567940 
4, -0.564534 
4, -0.563179 
4, -0.559673 
4, -0.557706 
4, -0.557389 
4, -0.554298 
4, -0.545584 
4, -0.544172 
4, -0.536990 
4, -0.527108 
4, -0.525035 
4, -0.524292 
4, -0.522802 
4, -0.522021 
4, -0.521232 
4, -0.520536 
4, -0.518518 
4, -0.517351 
4, -0.515925 
4, -0.511754 
4, -0.509981 
4, -0.508763 
4, -0.508350 
4, -0.505637 
4, -0.505636 
4, -0.505413 
4, -0.502163 
4, -0.502072 
4, -0.497633 
4, -0.494491 
4, -0.492965 
4, -0.491084 
4, -0.489383 
4, -0.488687 
4, -0.486769 
4, -0.486040 
4, -0.485280 
4, -0.485187 
4, -0.485114 
4, -0.483213 
4, -0.479154 
4, -0.478729 
4, -0.476118 
4, -0.471971 
4, -0.471272 
4, -0.467529 
4, -0.467305 
4, -0.464326 
4, -0.462642 
4, -0.462223 
4, -0.459135 
4, -0.457882 
4, -0.457408 
4, -0.456150 
4, -0.455426 
4, -0.454027 
4, -0.453868 
4, -0.453637 
4, -0.452545 
4, -0.450168 
4, -0.450125 
4, -0.449771 
4, -0.449412 
4, -0.447796 
4, -0.447755 
4, -0.447740 
4, -0.445309 
4, -0.443626 
4, -0.443539 
4, -0.443320 
4, -0.442790 
4, -0.441875 
4, -0.441118 
4, -0.439966 
4, -0.436743 
4, -0.433494 
4, -0.433324 
4, -0.433046 
4, -0.431426 
4, -0.430205 
4, -0.429251 
4, -0.427962 
4, -0.426351 
4, -0.423372 
4, -0.422846 
4, -0.421551 
4, -0.421223 
4, -0.415977 
4, -0.415640 
4, -0.415640 
4, -0.415640 
4, -0.415092 
4, -0.415016 
4, -0.414275 
4, -0.409825 
4, -0.409340 
4, -0.408919 
4, -0.404698 
4, -0.403486 
4, -0.403093 
4, -0.400415 
4, -0.398912 
4, -0.398071 
4, -0.397302 
4, -0.397209 
4, -0.396678 
4, -0.392250 
4, -0.390366 
4, -0.390266 
4, -0.389487 
4, -0.387872 
4, -0.386981 
4, -0.386111 
4, -0.385738 
4, -0.385216 
4, -0.380950 
4, -0.379912 
4, -0.378271 
4, -0.377712 
4, -0.373770 
4, -0.373521 
4, -0.373049 
4, -0.372972 
4, -0.370684 
4, -0.370636 
4, -0.370585 
4, -0.369384 
4, -0.369274 
4, -0.368236 
4, -0.366881 
4, -0.366868 
4, -0.360894 
4, -0.356509 
4, -0.355422 
4, -0.353067 
4, -0.351478 
4, -0.348612 
4, -0.348050 
4, -0.345103 
4, -0.344133 
4, -0.343147 
4, -0.341384 
4, -0.340430 
4, -0.337801 
4, -0.336403 
4, -0.325529 
4, -0.325188 
4, -0.323704 
4, -0.322206 
4, -0.318123 
4, -0.316428 
4, -0.312314 
4, -0.311864 
4, -0.311191 
4, -0.310911 
4, -0.310620 
4, -0.309352 
4, -0.306575 
4, -0.305121 
4, -0.303223 
4, -0.301762 
4, -0.298856 
4, -0.297481 
